position,name,count,sex,year
1,Oliver,546,MALE,2020
1,Charlotte,413,FEMALE,2020
1,Oliver,537,MALE,2019
1,Olivia,419,FEMALE,2019
1,Oliver,507,MALE,2018
1,Olivia,374,FEMALE,2018
1,Oliver,509,MALE,2017
1,Charlotte,426,FEMALE,2017
1,Oliver,516,MALE,2016
1,Charlotte,453,FEMALE,2016
1,Oliver,527,MALE,2015
1,Olivia,393,FEMALE,2015
1,Oliver,504,MALE,2014
1,Olivia,443,FEMALE,2014
1,William,494,MALE,2013
1,Charlotte,435,FEMALE,2013
1,Jack,490,MALE,2012
1,Olivia,437,FEMALE,2012
1,Jack,470,MALE,2011
1,Mia,428,FEMALE,2011
1,Jack,558,MALE,2010
1,Ruby,438,FEMALE,2010
1,William,551,MALE,2009
1,Olivia,432,FEMALE,2009
1,William,574,MALE,2008
1,Mia,489,FEMALE,2008
2,Noah,491,MALE,2020
2,Amelia,402,FEMALE,2020
2,Jack,502,MALE,2019
2,Mia,413,FEMALE,2019
2,Jack,463,MALE,2018
2,Charlotte,367,FEMALE,2018
2,William,466,MALE,2017
2,Olivia,360,FEMALE,2017
2,Jack,435,MALE,2016
2,Olivia,413,FEMALE,2016
2,Jack,415,MALE,2015
2,Charlotte,352,FEMALE,2015
2,Jack,464,MALE,2014
2,Charlotte,393,FEMALE,2014
2,Jack,485,MALE,2013
2,Ava,412,FEMALE,2013
2,William,476,MALE,2012
2,Charlotte,427,FEMALE,2012
2,William,461,MALE,2011
2,Ruby,406,FEMALE,2011
2,William,503,MALE,2010
2,Charlotte,433,FEMALE,2010
2,Jack,534,MALE,2009
2,Mia,418,FEMALE,2009
2,Jack,544,MALE,2008
2,Olivia,451,FEMALE,2008
3,William,409,MALE,2020
3,Olivia,373,FEMALE,2020
3,Noah,459,MALE,2019
3,Charlotte,408,FEMALE,2019
3,William,436,MALE,2018
3,Amelia,365,FEMALE,2018
3,Jack,450,MALE,2017
3,Amelia,357,FEMALE,2017
3,William,405,MALE,2016
3,Mia,364,FEMALE,2016
3,William,411,MALE,2015
3,Amelia,338,FEMALE,2015
3,William,463,MALE,2014
3,Mia,355,FEMALE,2014
3,Oliver,469,MALE,2013
3,Olivia,390,FEMALE,2013
3,Oliver,432,MALE,2012
3,Ruby,419,FEMALE,2012
3,Oliver,454,MALE,2011
3,Olivia,404,FEMALE,2011
3,Thomas,436,MALE,2010
3,Mia,423,FEMALE,2010
3,Oliver,453,MALE,2009
3,Chloe,403,FEMALE,2009
3,Thomas,522,MALE,2008
3,Chloe,448,FEMALE,2008
4,Jack,408,MALE,2020
4,Mia,356,FEMALE,2020
4,William,424,MALE,2019
4,Amelia,396,FEMALE,2019
4,Noah,355,MALE,2018
4,Mia,358,FEMALE,2018
4,Noah,372,MALE,2017
4,Ava,347,FEMALE,2017
4,Noah,373,MALE,2016
4,Amelia,355,FEMALE,2016
4,Thomas,337,MALE,2015
4,Ava,324,FEMALE,2015
4,Noah,374,MALE,2014
4,Ava,345,FEMALE,2014
4,Ethan,381,MALE,2013
4,Mia,368,FEMALE,2013
4,Ethan,426,MALE,2012
4,Chloe,399,FEMALE,2012
4,Ethan,445,MALE,2011
4,Chloe,392,FEMALE,2011
4,Oliver,397,MALE,2010
4,Olivia,405,FEMALE,2010
4,Joshua,443,MALE,2009
4,Ruby,398,FEMALE,2009
4,Joshua,475,MALE,2008
4,Isabella,422,FEMALE,2008
5,Charlie,342,MALE,2020
5,Isla,351,FEMALE,2020
5,Thomas,385,MALE,2019
5,Isla,368,FEMALE,2019
5,Thomas,345,MALE,2018
5,Ava,332,FEMALE,2018
5,Thomas,345,MALE,2017
5,Mia,319,FEMALE,2017
5,James,333,MALE,2016
5,Ava,324,FEMALE,2016
5,Noah,320,MALE,2015
5,Mia,283,FEMALE,2015
5,Thomas,342,MALE,2014
5,Chloe,328,FEMALE,2014
5,Thomas,374,MALE,2013
5,Emily,344,FEMALE,2013
5,Thomas,423,MALE,2012
5,Mia,368,FEMALE,2012
5,Noah,390,MALE,2011
5,Charlotte,381,FEMALE,2011
5,Joshua,378,MALE,2010
5,Chloe,373,FEMALE,2010
5,Thomas,442,MALE,2009
5,Isabella,395,FEMALE,2009
5,James,466,MALE,2008
5,Charlotte,414,FEMALE,2008
6,Thomas,339,MALE,2020
6,Ava,335,FEMALE,2020
6,Leo,377,MALE,2019
6,Ava,350,FEMALE,2019
6,Henry,331,MALE,2018
6,Isla,290,FEMALE,2018
6,James,323,MALE,2017
6,Zoe,299,FEMALE,2017
6,Ethan,325,MALE,2016
6,Isla,323,FEMALE,2016
6,Ethan,305,MALE,2015
6,Chloe,281,FEMALE,2015
6,James,337,MALE,2014
6,Amelia,316,FEMALE,2014
6,James,372,MALE,2013
6,Sophie,332,FEMALE,2013
6,Noah,409,MALE,2012
6,Emily,365,FEMALE,2012
6,Thomas,385,MALE,2011
6,Isabella,359,FEMALE,2011
6,James,374,MALE,2010
6,Lily,367,FEMALE,2010
6,Lachlan,418,MALE,2009
6,Charlotte,377,FEMALE,2009
6,Lachlan,440,MALE,2008
6,Ava,371,FEMALE,2008
7,Leo,335,MALE,2020
7,Matilda,289,FEMALE,2020
7,Lucas,357,MALE,2019
7,Chloe,326,FEMALE,2019
7,Leo,314,MALE,2018
7,Zoe,287,FEMALE,2018
7,Lucas,315,MALE,2017
7,Evie,284,FEMALE,2017
7,Thomas,320,MALE,2016
7,Zoe,304,FEMALE,2016
7,James,286,MALE,2015
7,Zoe,268,FEMALE,2015
7,Lucas,318,MALE,2014
7,Sophie,313,FEMALE,2014
7,Noah,368,MALE,2013
7,Isabella,327,FEMALE,2013
7,James,381,MALE,2012
7,Amelia,358,FEMALE,2012
7,James,380,MALE,2011
7,Sienna,355,FEMALE,2011
7,Ethan,362,MALE,2010
7,Ava,350,FEMALE,2010
7,James,382,MALE,2009
7,Ella,366,FEMALE,2009
7,Oliver,432,MALE,2008
7,Sienna,366,FEMALE,2008
8,Henry,316,MALE,2020
8,Chloe,275,FEMALE,2020
8,Charlie,353,MALE,2019
8,Zoe,294,FEMALE,2019
8,Ethan,295,MALE,2018
8,Chloe,277,FEMALE,2018
8,Henry,282,MALE,2017
8,Grace,283,FEMALE,2017
8,Max,282,MALE,2016
8,Evie,301,FEMALE,2016
8,Lucas,284,MALE,2015
8,Evie,263,FEMALE,2015
8,Ethan,305,MALE,2014
8,Emily,301,FEMALE,2014
8,Joshua,327,MALE,2013
8,Chloe,326,FEMALE,2013
8,Lucas,338,MALE,2012
8,Sophie,357,FEMALE,2012
8,Lucas,365,MALE,2011
8,Amelia,352,FEMALE,2011
8,Noah,360,MALE,2010
8,Isabella,348,FEMALE,2010
8,Ethan,362,MALE,2009
8,Emily,353,FEMALE,2009
8,Riley,378,MALE,2008
8,Emily,352,FEMALE,2008
9,Levi,304,MALE,2020
9,Grace,273,FEMALE,2020
9,Henry,340,MALE,2019
9,Ruby,293,FEMALE,2019
9,Liam,270,MALE,2018
9,Grace,257,FEMALE,2018
9,Charlie,280,MALE,2017
9,Isla,282,FEMALE,2017
9,Mason,263,MALE,2016
9,Grace,278,FEMALE,2016
9,Max,258,MALE,2015
9,Sophie,242,FEMALE,2015
9,Mason,269,MALE,2014
9,Ruby,284,FEMALE,2014
9,Lucas,309,MALE,2013
9,Ruby,325,FEMALE,2013
9,Joshua,317,MALE,2012
9,Ava,353,FEMALE,2012
9,Joshua,347,MALE,2011
9,Ella,339,FEMALE,2011
9,Cooper,359,MALE,2010
9,Ella,343,FEMALE,2010
9,Noah,358,MALE,2009
9,Lily,351,FEMALE,2009
9,Cooper,366,MALE,2008
9,Ella,348,FEMALE,2008
10,Archie,295,MALE,2020
10,Ella,265,FEMALE,2020
10,Ethan,334,MALE,2019
10,Harper,289,FEMALE,2019
10,Charlie,270,MALE,2018
10,Matilda,250,FEMALE,2018
10,Ethan,279,MALE,2017
10,Ella,248,FEMALE,2017
10,Alexander,262,MALE,2016
10,Chloe,273,FEMALE,2016
10,Charlie,249,MALE,2015
10,Emily,237,FEMALE,2015
10,Lachlan,269,MALE,2014
10,Ella,274,FEMALE,2014
10,Mason,288,MALE,2013
10,Amelia,320,FEMALE,2013
10,Alexander,313,MALE,2012
10,Zoe,336,FEMALE,2012
10,Lachlan,341,MALE,2011
10,Lily,334,FEMALE,2011
10,Max,327,MALE,2010
10,Emily,323,FEMALE,2010
10,Lucas,337,MALE,2009
10,Ava,350,FEMALE,2009
10,Noah,358,MALE,2008
10,Sophie,328,FEMALE,2008
11,Oscar,290,MALE,2020
11,Willow,262,FEMALE,2020
11,Oscar,307,MALE,2019
11,Matilda,278,FEMALE,2019
11,Max,268,MALE,2018
11,Evie,246,FEMALE,2018
11,Alexander,264,MALE,2017
11,Chloe,247,FEMALE,2017
11,Henry,261,MALE,2016
11,Sophie,262,FEMALE,2016
11,Mason,245,MALE,2015
11,Ella,236,FEMALE,2015
11,Alexander,269,MALE,2014
11,Grace,266,FEMALE,2014
11,Lachlan,286,MALE,2013
11,Grace,302,FEMALE,2013
11,Cooper,298,MALE,2012
11,Isabella,324,FEMALE,2012
11,Cooper,317,MALE,2011
11,Sophie,321,FEMALE,2011
11,Lucas,326,MALE,2010
11,Sophie,304,FEMALE,2010
11,Benjamin,332,MALE,2009
11,Sienna,344,FEMALE,2009
